Date,AAPL,GOOGL,MSFT,NVDA,XOM,CVX,COP,JPM,BAC,GS,JNJ,PFE,MRK,KO,PG,PEP,UNP,CAT,LIN,NEM,NEE,DUK
2021-01-04,126.40522003173828,85.89584350585938,210.0019989013672,13.079099655151367,34.85149002075195,70.881591796875,33.918479919433594,111.6209716796875,27.059280395507812,238.93768310546875,138.82266235351562,30.4268798828125,67.80485534667969,46.38884735107422,123.30142211914062,127.46719360351562,184.83050537109375,166.71429443359375,243.9785614013672,54.51887893676758,66.79869079589844,75.71109008789062
2021-01-05,127.96807098388672,86.5885238647461,210.20458984375,13.369585037231445,36.53107452392578,72.79776000976562,35.86426544189453,112.22833251953125,27.266529083251953,244.28448486328125,140.45486450195312,30.740985870361328,67.9220962524414,45.87887954711914,124.08872985839844,127.8470687866211,187.09751892089844,168.07806396484375,247.8059844970703,54.7606086730957,67.293701171875,75.744873046875
2021-01-06,123.66048431396484,85.73410034179688,204.75411987304688,12.581408500671387,37.4632453918457,75.14067840576172,37.29574966430664,117.49809265136719,28.969562530517578,257.4666442871094,141.7765350341797,30.476470947265625,68.99412536621094,44.41933822631836,125.39492797851562,126.28321838378906,191.012451171875,177.43199157714844,255.94142150878906,56.32322692871094,70.58771514892578,76.72384643554688
2021-01-07,127.88020324707031,88.29486083984375,210.580810546875,13.308995246887207,37.75717544555664,75.49211883544922,38.315792083740234,121.35663604736328,29.609323501586914,262.9667053222656,142.2555389404297,30.633520126342773,70.36763763427734,43.926963806152344,124.22293853759766,125.87676239013672,193.6709747314453,177.77064514160156,255.2061309814453,56.23689651489258,71.36173248291016,75.8630142211914
2021-01-08,128.98394775390625,89.46377563476562,211.86387634277344,13.241923332214355,38.177066802978516,76.21173095703125,38.315792083740234,121.4906005859375,29.311965942382812,261.5510559082031,141.96279907226562,30.69138526916504,69.53849792480469,44.91171646118164,124.16922760009766,127.38761901855469,199.2247314453125,177.79811096191406,254.9044647216797,54.20808029174805,73.01774597167969,75.998046875
2021-01-11,125.98522186279297,87.39665985107422,209.80908203125,13.585765838623047,39.33599090576172,76.64684295654297,38.881534576416016,123.30375671386719,29.798545837402344,264.93231201171875,141.36849975585938,31.220407485961914,71.18840789794922,44.13797378540039,123.32826232910156,125.54106140136719,197.8863525390625,177.43199157714844,252.19895935058594,53.48289489746094,71.72173309326172,75.35663604736328
2021-01-12,125.80939483642578,86.45814514160156,207.3394775390625,13.449376106262207,40.209373474121094,78.102783203125,40.647300720214844,125.24198150634766,30.330184936523438,272.48809814453125,140.26856994628906,30.732711791992188,69.58873748779297,44.058841705322266,122.612548828125,124.95792388916016,199.06080627441406,180.8001251220703,251.3410186767578,53.949092864990234,71.7757339477539,75.05282592773438
2021-01-13,127.8508529663086,86.94682312011719,208.69969177246094,13.496252059936523,40.66286087036133,78.02747344970703,40.31302261352539,125.35807800292969,30.14996337890625,273.1463317871094,140.05567932128906,30.468204498291016,68.96062469482422,44.10280227661133,122.80042266845703,125.98280334472656,197.21261596679688,179.2899627685547,252.38746643066406,53.58648681640625,73.65673828125,77.27241516113281
2021-01-14,125.91683959960938,86.13420104980469,205.49691772460938,13.165621757507324,42.25007247924805,79.90181732177734,41.03303527832031,126.09049224853516,30.627540588378906,277.5914306640625,142.50392150878906,30.37728500366211,68.81824493408203,43.285118103027344,121.4942398071289,125.2494888305664,196.8029327392578,180.67201232910156,248.57894897460938,54.674278259277344,74.27776336669922,77.3568115234375
2021-01-15,124.18793487548828,85.96997833251953,205.13999938964844,12.825765609741211,40.217769622802734,77.05683898925781,38.675811767578125,123.83075714111328,29.744483947753906,271.4061584472656,142.19345092773438,30.33595085144043,69.83161926269531,42.819114685058594,120.58165740966797,124.92262268066406,197.20352172851562,178.12754821777344,243.2998504638672,53.40520477294922,73.8367691040039,77.73657989501953
2021-01-19,124.8619155883789,88.79895782470703,208.79615783691406,12.991082191467285,41.01557159423828,79.08180236816406,39.43012237548828,123.29484558105469,29.52822494506836,265.2659606933594,144.3933563232422,30.360746383666992,69.6724853515625,42.65205764770508,119.52597045898438,125.51456451416016,196.00172424316406,178.56004333496094,244.19546508789062,53.39655685424805,74.52977752685547,76.27654266357422
2021-01-20,128.9644012451172,93.55621337890625,216.4171600341797,13.330687522888184,41.59503936767578,79.80976104736328,38.881534576416016,121.44595336914062,29.140766143798828,261.9027404785156,144.0384979248047,30.170631408691406,69.06112670898438,42.80153274536133,118.03189086914062,124.86959838867188,198.64202880859375,176.97743225097656,242.64944458007812,54.83831024169922,75.64578247070312,76.6141357421875
2021-01-21,133.69200134277344,93.75923919677734,217.02491760253906,13.831122398376465,40.402530670166016,76.9898910522461,37.021453857421875,120.427734375,28.627151489257812,260.91094970703125,143.46192932128906,30.154102325439453,67.98910522460938,43.038917541503906,117.91580200195312,123.34988403320312,189.28257751464844,176.83941650390625,238.6901092529297,53.793701171875,75.33977508544922,76.10775756835938
2021-01-22,135.84095764160156,94.177734375,217.97032165527344,13.676527976989746,39.83146667480469,76.755615234375,36.59286880493164,119.49883270263672,28.428913116455078,260.9289855957031,145.07638549804688,30.211959838867188,67.82160186767578,42.63447570800781,117.00675201416016,122.44872283935547,188.58154296875,176.60935974121094,237.06871032714844,53.31022644042969,75.78976440429688,76.20059967041016
